"Security Code","Security Name","Group","LTP","Chg","% Chg"
506365,"CHEMOPH","XT",26.4,0.45,1.76
523704,"MASTEK","A",2508.3,42.85,1.76
530365,"ORIENTBELL","B",333,5.7,1.76
532553,"WELENT","A",115.9,1.95,1.76
533088,"MHRIL","A",330,5.6,1.75
541601,"RAJNISH","M",23.9,0.4,1.75
524412,"AREYDRG","X",38.4,0.65,1.74
531196,"GAGANPO","XT",2.39,0.04,1.74
540153,"ENDURANCE","A",1664.1,28.15,1.74
521220,"DAMOINDUS","B",50.75,0.85,1.73
524582,"TIRUSTA","XT",62,1.05,1.73
531717,"VIDHIING","B",268.2,4.4,1.73
519319,"JATALIA","XT",4.2,0.07,1.71
500192,"PRAGBOS","XT",3.03,0.05,1.7
502742,"SINTEX","T",4.89,0.08,1.7
504786,"INVPRECQ","X",219.8,3.65,1.69
540174,"SOUTHERNIN","XT",21.65,0.35,1.69
533540,"TREEHOUSE","T",11.23,0.18,1.68
507753,"TGVSL","X",39.95,0.65,1.67
524711,"VISTAPH","XT",11.2,0.18,1.66
505242,"DYNAMATECH","B",1648.6,26.15,1.65
500730,"NOCIL","A",269.75,4.3,1.64
543230,"ADVAIT","M",59,0.95,1.64
505368,"REVATHI","B",711.65,11.25,1.63
538834,"MEL","XT",5.14,0.08,1.63
531091,"UNITDCR","X",16,0.25,1.6
532834,"CAMLINFINE","A",228,3.55,1.6
539561,"REMLIFE","XT",131,2,1.6
542367,"XELPMOC","B",470,7.1,1.6
530889,"ALKA","Z",0.65,0.01,1.59
531225,"XTGLOBAL","X",35.95,0.55,1.59
500106,"IFCI","A",14.33,0.22,1.58
500110,"CHENNPETRO","A",139,2.1,1.58
511509,"VIVOBIOT","X",89,1.35,1.57
538566,"APOLLOTRI","A",1465.05,22.65,1.57
500014,"UTIQUE","X",4.72,0.07,1.56
500136,"ESTER","B",147.45,2.25,1.56
500257,"LUPIN","A",1181.9,18.1,1.56
519156,"VADILALIND","B",1031.8,15.75,1.56
531147,"ALICON","B",809,12.25,1.56
540673,"SIS","A",512.95,7.75,1.56
532998,"LEHIL","T",50.65,0.75,1.55
502958,"LAKSHMIMIL","X",3350,49.85,1.54
539940,"MAXVIL","B",81.05,1.2,1.54
500378,"JINDALSAW","A",131.8,1.95,1.53
512437,"APOLLOFI","XT",575,8.55,1.52
532918,"RATHIBAR","X",28.95,0.4,1.52
543218,"SBGLP","M",67,1,1.52
500067,"BLUESTARCO","A",872.05,12.9,1.51
500179,"HCL-INSYS","B",17.4,0.25,1.51
530175,"ODYSSEY","XT",54.4,0.8,1.51
532523,"BIOCON","A",413.2,6.1,1.51
512247,"ASHCAP","X",4.75,0.07,1.5
532898,"POWERGRID","A",236.3,3.45,1.5
532832,"IBREALEST","A",144.55,2.1,1.49
506480,"GOCLCORP","B",279,4,1.48
513709,"SHILGRAVQ","X",115,1.65,1.48
532612,"INDOCO","A",469.75,6.45,1.48
523395,"3MINDIA","A",24872.05,356.9,1.47
532810,"PFC","A",128,1.85,1.47
512597,"KEYFINSER","B",75,1.05,1.46
531673,"ANKIN","X",10.03,0.14,1.46
533150,"GODREJPROP","A",1588.2,22.7,1.46
509073,"HATHWAYB","XT",21.35,0.3,1.45
512048,"LUHARUKA","X",0.72,0.01,1.45
538812,"AANCHALISP","XT",5.75,0.08,1.45
540615,"7NR","B",7.24,0.1,1.45
542592,"HBEL","M",117,1.65,1.44
524037,"RAMAPHO","X",328,4.5,1.43
539673,"RCL","XT",7.89,0.11,1.43
539770,"DARJEELING","XT",4.39,0.06,1.43
539963,"ZEAL","B",142,1.85,1.43
507864,"PIONRINV","X",36.35,0.5,1.42
532159,"TRESCON","X",50,0.7,1.42
532762,"ACE","A",236.95,3.25,1.42
532889,"KPRMILL","A",1902,26,1.42
534532,"LYPSAGEMS","B",5.81,0.08,1.42
539876,"CROMPTON","A",496.5,6.5,1.41
543248,"BURGERKING","B",171.55,2.35,1.41
500367,"RUBFILA","X",103,1.4,1.4
531287,"NATPLASTI","X",74.9,1,1.4
513343,"GRANDFONRY","T",3.76,0.05,1.39
542670,"ARTEMISELC","B",48.15,0.65,1.39
538401,"METSL","X",68.35,0.9,1.38
500325,"RELIANCE","A",2114.5,28.55,1.37
539487,"LICNETFSEN","B",572,7.66,1.37
541444,"PALMJEWELS","B",37.8,0.5,1.37
526829,"CONFIPET","B",63.75,0.85,1.36
540526,"IRBINVIT","IF",56.3,0.75,1.35
500215,"ATFL","A",973.8,12.65,1.34
514045,"BSL","B",62,0.8,1.34
533090,"EXCEL","T",3.84,0.05,1.33
538562,"SKIPPER","B",91.4,1.15,1.33
502281,"TRIVENIGQ","X",6.89,0.09,1.32
539661,"ACEMEN","XT",39.85,0.5,1.32
590109,"SHARIABEES","B",410.37,5.33,1.32
500199,"IGPL","B",696,8.95,1.31
541163,"SANDHAR","B",299,3.8,1.31
533096,"ADANIPOWER","T",108.5,1.35,1.3
502015,"ASIIL","XT",28.2,0.35,1.29
507598,"KLRFM","X",71.9,0.9,1.29
532457,"GULPOLY","T",243.4,3,1.29
533553,"TDPOWERSYS","B",218.6,2.7,1.29
526479,"SKYIND","X",81.8,1,1.28
539255,"STARDELTA","X",84.95,1.05,1.28
540809,"MRCEXIM","M",6.7,0.08,1.28
517041,"ADORWELD","B",808,9.45,1.27
517146,"USHAMART","A",56.75,0.7,1.27
523676,"GOLKUNDIA","X",48.2,0.6,1.27
524051,"POLYPLEX","A",1548,19.1,1.27
531982,"SPECFOOD","XT",16,0.2,1.27
532808,"PGIL","B",277.6,3.45,1.27
533155,"JUBLFOOD","A",3153,39.45,1.27
505827,"SNL","X",279,3.4,1.25
531859,"ORIRAIL","X",58.5,0.7,1.25
532309,"GEPIL","A",343.35,4.15,1.25
519183,"ADFFOODS","A",882.1,10.7,1.24
532461,"PNB","A",41.2,0.5,1.24
533602,"LESHAIND","XT",3.39,0.04,1.24
539844,"EQUITAS","A",130.95,1.6,1.24
534091,"MCX","A",1746.9,20.9,1.23
526861,"RISHILASE","X",17.2,0.2,1.22
531437,"PWASML","X",29.95,0.35,1.22
539437,"IDFCFIRSTB","A",54.6,0.65,1.22
540570,"VARIMAN","XT",43,0.5,1.22
532807,"CINELINE","B",51.75,0.6,1.21
539807,"INFIBEAM","A",50.9,0.6,1.21
506194,"ASL","T",94,1.1,1.2
523606,"SIKA","X",500,5.8,1.2
500295,"VEDL","A",274.95,3.2,1.19
523319,"BALMLAWRIE","A",142.55,1.65,1.19
533282,"GRAVITA","B",176.8,2.05,1.19
